교차로명,오전 첨두,오후 첨두,주간 교통량,24간 교통량
운암사거리,8762,7723,110851,121538
동운고가사거리,10298,8850,123288,134709
광천사거리,9595,9005,128459,140845
농성광장,8589,8435,110402,121047
월산마을사거리,5657,5298,72809,79827
백운광장,7127,6987,97965,109827
남광주교차로,6008,5211,72048,78995
산수오거리,3133,2996,40651,44569
서방사거리,4133,3781,50759,55653
신안교삼거리,5664,5062,69101,75764
천교사거리,3777,3717,50098,54928
대인교차로,4334,3960,52301,57344
광주역교차로,4097,3881,50466,55330
임동오거리,5129,4608,59352,65077
광주대입구교차로,7779,6967,88389,96914
문화사거리,6494,6260,86886,95264
북부서사거리,5245,4709,65979,72339
흑석사거리,5519,5238,66623,73046
상무지구입구교차로,8113,7553,102664,112562
영광통사거리,4973,4628,66851,73297
풍암사거리,14142,12725,171436,187965
풍금사거리,3123,3129,42830,46960
금남로4가역사거리,3254,3382,44478,48545
광주여대사거리,14347,13253,186018,203347
주월교차로,6493,6203,84750,92921
전대입구사거리,4981,4796,62416,68434
양산지구사거리,4826,4933,60803,66666
계수교차로,16696,16995,229000,253653
신가지구입구교차로,6922,6450,76605,83992
우석교차로,15451,15046,198386,217709
서창교차로,15251,14208,175563,188989
산월 IC,16670,14724,197922,215935
선운사거리,11477,9386,142940,156721
상무교차로,14398,13466,188541,207453
금호자동차학원,7198,6441,75286,82545
행암교차로,5225,4517,61314,67226
지원교차로,14993,13401,165704,181681
연제교차로,9931,9585,124321,136253
북구청사거리,3854,3632,48559,53240
수완성덕교사거리,7468,7264,92680,101614
하남산단6번로사거리,4642,4196,52703,57783
평동산단입구사거리,4196,4360,51731,56718
운수IC사거리,14470,12517,178701,195931
상무역사거리,5569,6092,74921,82145
남구종합문화예술회관앞교차로,4753,4371,55044,60351
북구일곡교차로,4508,4514,44046,48294
오선교차로,6570,5317,73476,80559
북광산교차로,6258,5555,66276,72666
공항역교차로,6292,6176,76582,83966
유덕1교차로,11721,11655,161424,176990
